Unnamed: 0,Performances,SMILES,Length,ElementTypes
1581,2.359326,Cl[Zn]Cl.[O-][n+]1cc(cc(c1)c1ccncc1)c1ccncc1,44,5.0
1582,3.916024,Cl[Zn].ON=C1CC2C(CC1(C)NCC(=O)[O-])C2(C)C,41,5.0
1583,4.274604,Cl[Zn].NC1=NN=C[N]1.NC1=N[N]C=N1,32,4.0
1584,3.805253,Cl[Zn].n1ccc(cc1)CC1=NN=N[N]1,29,4.0
1585,2.986835,Cl[Zn].n1ccc(cc1)C1=NN=N[N]1.n1ccc(cc1)C1=N[N]N=N1,50,4.0
1586,2.930444,Cl[Zn].n1ccc(cc1)C1=CN=N[CH]1.n1ccc(cc1)C1=C[N]N=C1.n1ccc(cc1)[C]1C=NN=C1,73,4.0
1587,2.726122,Cl[Zn].N1=NN=C([N]1)c1cnc2c(c1)cccc2,36,4.0
1588,2.834914,Cl[Zn].N1=NN=C([N]1)c1cccc(c1)C1=NN=N[N]1.n1ccc(cc1)c1ccncc1,60,4.0
1589,3.658935,Cl[Zn].N1=NN=C([N]1)C12CC3(CC(C2)(CC(C1)(C3)C1=NN=N[N]1)C1=NN=N[N]1)C1=NN=N[N]1.[Zn],84,4.0
1590,2.556621,Cl[Zn].N1=Nc2c(=N1)cc1c(=NN=N1)c2,33,4.0
1591,2.590782,Cl[Zn].N1=Nc2c(=N1)cc1c(=NN=N1)c2,33,4.0
1592,2.519093,Cl[Zn].N1=NC2=CC3=C([CH]C2=N1)O[C]1C(=CC2=NN=NC2=C1)O3.N1=NC2=CC3=C([CH]C2=N1)Oc1c(O3)cc2c(c1)N=N[N]2.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2=N[N]N=c2c1.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)N=N[N]2.N1=N[C]2C(=N1)C=C1C(=C2)OC2=CC3=NN=NC3=C[C]2O1.[Zn],244,5.0
1593,3.218649,Cl[Zn].N1=C[N]N([CH]1)c1ccc(cc1)C1=NN=N[N]1,43,4.0
1594,3.79412,Cl[Zn].c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,35,4.0
1595,3.427643,Cl[Zn].c1ccc(cn1)CC1=NN=N[N]1,29,4.0
1596,2.379011,Cl[Zn].[Zn].c1ccc2c(c1)N=C([N]2)C1=Nc2c([N]1)cccc2.c1ccc2c(c1)N=C([N]2)c1nc2c([nH]1)cccc2,89,4.0
1597,2.615093,Cl[Zn].[O]S(=O)(=O)[O],22,4.0
1598,3.193718,Cl[Zn].[O]P(=O)(C1=CC=CN[CH]1)[O],33,6.0
1599,2.81778,Cl[Zn].[O]C1=C[CH]N(C=C1)c1cc(cc(c1)C(=O)[O-])N1[CH]C=C(C=C1)[O],64,5.0
1600,4.363862,Cl[Zn].[O-]C(=O)CCn1ccnc1c1nccn1CCC(=O)O,40,5.0
1601,2.832723,Cl[Zn].[O-]C(=O)CC(C(=O)[O-])[O].[Zn],37,4.0
1602,4.031186,Cl[Zn].[O-]C(=O)C1CSCN1,23,6.0
1603,2.973595,Cl[Zn].[O-]C(=O)c1ccc(cc1)n1cncc1,33,5.0
1604,3.341443,Cl[Zn].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)CCc1ccncc1,56,5.0
1605,2.975062,Cl[Zn].[O-]C(=O)c1ccc(cc1)C(=O)[O-].c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1,71,5.0
1606,3.120751,Cl[Zn].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1,76,5.0
1607,1.725113,Cl[Zn].[O-]C(=O)c1cc(CN2[CH]C=C(C=C2)C=Cc2ccncc2)cc(c1)C(=O)[O-],64,5.0
1608,3.322066,Cl[Zn].[O-]C(=O)c1cc(cc(c1)N1[CH]N=C[N]1)N1[CH]N=C[N]1,54,5.0
1609,1.899223,Cl[Zn].[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-],43,4.0
1610,1.635055,Cl[Zn].[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].n1ccc(cc1)c1ccncc1,66,5.0
1611,4.194632,Cl[Zn].[O-]C(=O)C(Cc1nccn1C)Cc1nccn1C,37,5.0
1612,3.021719,Cl[Zn].[O-]C(=O)C(Cc1ccccc1)N=Cc1c[nH]cn1,41,5.0
1613,2.420209,Cl[Zn].[O-][n+]1ccc(cc1)C1=Nc2c([N]1)cccc2,42,5.0
1614,3.13235,Cl[Y].N#Cc1cccc(c1)C#N,22,4.0
1615,2.474501,Cl[Ti](Cl)(Cl)Cl.N#CCCCC#N,26,4.0
1616,2.313487,Cl[Tb](Cl)Cl.N#Cc1ccc(cc1)C#N,29,4.0
1617,2.359751,Cl[Sm](Cl)Cl.N#Cc1ccc(cc1)C#N,29,4.0
1618,2.208417,Cl[Sm](Cl)Cl.Cl[Sm]Cl.n1ccc(cc1)c1ccncc1,40,4.0
1619,1.847366,Cl[Rh][Rh]Cl.[CH2]CC#N.[Sn][Sn],31,5.0
1620,2.25181,Cl[Pr](Cl)Cl.Cl[Pr]Cl.n1ccc(cc1)c1ccncc1,40,4.0
1621,3.772214,Cl[Pb]Cl.c1ncn(c1)Cn1cncc1,26,4.0
1622,1.087453,Cl[Ni]Cl.O=C(c1cccc(n1)C(=O)NCc1cccnc1)NCc1cccnc1,49,5.0
1623,1.125289,Cl[Ni]Cl.[Ni].[O]P(=O)(c1ccc(cc1)n1cnnc1)O,42,6.0
1624,3.231082,Cl[N]S(=O)(=O)c1ccccc1Cl.O.[Na],31,6.0
1625,3.171926,Cl[N]S(=O)(=O)c1ccc(cc1Cl)Cl.O.[Na],35,6.0
1626,3.031567,Cl[N]S(=O)(=O)c1ccc(cc1)Cl.O.[K],32,6.0
1627,0.197707,Cl[Mn]O[Mn]O[Mn]Cl.[Mn].[O-]C(=O)c1cnccn1,41,5.0
1628,2.448926,Cl[Mn]Cl.OCC(C(CO)O)O,21,4.0
1629,0.043468,Cl[Mn]Cl.n1ccc(cc1)c1ccncc1,27,4.0
1630,0.318632,Cl[Mn]Cl.n1ccc(cc1)c1cc(nc(c1)c1ccccn1)c1ccccn1,47,4.0
1631,1.678824,Cl[Mn]Cl.c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,37,4.0
1632,2.16356,Cl[Mn].OCCN(CC(=O)[O-])CCO,26,5.0
1633,0.757504,Cl[Mn].Cl[Mn]Cl.N1=Nc2c(=N1)cc1c(=NN=N1)c2.[Mn],47,4.0
1634,1.470017,Cl[Mn].Cl[Mn]Cl.[Mn].[O-]C(=O)Cn1cncn1,38,5.0
1635,0.702304,Cl[Mn].Cl[Mn]Cl.[Mn].[O-]C(=O)c1ncccn1,38,5.0
1636,1.539568,Cl[Mn].[O-]C(=O)CN1C=CN([CH]1)CC(=O)[O-],40,5.0
1637,0.968638,Cl[Mn].[O-]C(=O)c1ccccn1,24,5.0
1638,0.75917,Cl[Mn].[O-][n+]1ccc(cc1)C(=O)[O-],33,5.0
1639,2.461065,Cl[La](Cl)(Cl)Cl.Cl[La]Cl.n1ccc(cc1)c1ccncc1,44,4.0
1640,3.096494,Cl[Ho].N#Cc1cccc(c1)C#N,23,4.0
1641,2.772754,Cl[Hg]Cl.S1CC23C(C1)(C3)CSC2,28,4.0
1642,2.935136,Cl[Hg]Cl.O=C1Nc2cc(cc(c2)c2ccncc2)C(=O)N2CCCC2C(=O)Nc2cc(C(=O)N3C1CCC3)cc(c2)c1ccncc1,85,5.0
1643,3.195471,Cl[Hg]Cl.O=C(NCc1ccncc1)NCc1ccncc1,34,5.0
1644,2.391639,Cl[Hg]Cl.O=C(Nc1ccccc1Oc1ccccc1NC(=O)Nc1ccncc1)Nc1ccncc1,56,5.0
1645,2.67823,Cl[Hg]Cl.O=C(c1cccnc1)OC1COC2C1OCC2OC(=O)c1cccnc1,49,5.0
1646,2.836212,Cl[Hg]Cl.O=C(c1cccnc1)Nc1cccnc1,31,5.0
1647,2.416447,Cl[Hg]Cl.O=C(c1cccnc1)Nc1ccc(cc1)NC(=O)c1cccnc1,47,5.0
1648,2.909022,Cl[Hg]Cl.O=C(c1cc(OCc2ccncc2)cc(c1)OCc1ccncc1)OCc1ccncc1,56,5.0
1649,3.048818,Cl[Hg]Cl.Nn1c(nnc1c1ccc(cc1)Cn1cnc2c1cccc2)c1ccc(cc1)Cn1cnc2c1cccc2,67,4.0
1650,3.30128,Cl[Hg]Cl.n1ccc(cc1)SSc1ccncc1,29,5.0
1651,2.774518,Cl[Hg]Cl.n1ccc(cc1)N(c1ccncc1)c1ccc(cc1)N(c1ccncc1)c1ccncc1,59,4.0
1652,2.121799,Cl[Hg]Cl.n1ccc(cc1)C#Cc1ccc(cc1)C#Cc1ccncc1,43,4.0
1653,2.211755,Cl[Hg]Cl.c1ccnnc1,17,4.0
1654,3.2308,Cl[Hg]Cl.c1ccc2c(c1)n(cn2)Cn1cnc2c1cccc2,40,4.0
1655,3.386647,Cl[Hg]Cl.c1ccc2c(c1)n(cn2)Cc1ccc(cc1)Cn1cnc2c1cccc2,51,4.0
1656,2.380036,Cl[Hg]Cl.c1ccc(nc1)NCc1cccnc1,29,4.0
1657,2.450415,Cl[Hg]Cl.c1ccc(nc1)NCc1ccccn1,29,4.0
1658,0.003968,Cl[Hg]Cl.c1ccc(nc1)c1nc(C2=N[N]N=N2)c(nc1c1ccccn1)C1=NN=N[N]1.c1ccc(nc1)c1nc(C2=N[N]N=N2)c(nc1c1ccccn1)C1=N[N]N=N1,114,4.0
1659,2.115169,Cl[Hg]Cl.c1ccc(nc1)C=Nc1cccnc1,30,4.0
1660,1.872669,Cl[Hg]Cl.c1ccc(cn1)C=Nc1cccc2c1cccc2N=Cc1cccnc1,47,4.0
1661,0.021079,Cl[Hg]Cl.[O]Cc1ccccn1,21,5.0
1662,1.617126,Cl[Hg].O=C(C1=C[CH]N(C=C1)[Hg](Cl)(Cl)Cl)NCCN(CCNC(=O)c1ccncc1)CCNC(=O)c1ccncc1,79,5.0
1663,2.246633,Cl[Hg].NC1=NN=N[N]1,19,4.0
1664,2.199248,Cl[Hg].NC1=NN=N[N]1,19,4.0
1665,2.326948,Cl[Gd](Cl)Cl.N#Cc1ccc(cc1)C#N,29,4.0
1666,4.439162,Cl[Ga](Cl)Cl.O1CCOCC1,21,4.0
1667,0.20968,Cl[Fe]Cl.N1CCNCC1,17,4.0
1668,0.796787,Cl[Fe]Cl.c1cnc(cn1)c1nnc2n1cccc2,32,4.0
1669,0.420988,Cl[Fe]Cl.[nH]1cnnc1,19,4.0
1670,1.189837,Cl[Fe].Cl[Fe]Cl.N1=Nc2c(=N1)cc1c(=NN=N1)c2.[Fe],47,4.0
1671,0.104579,Cl[Fe].Cl[Fe]Cl.N1=Nc2c(=N1)cc1c(=NN=N1)c2.[Fe],47,4.0
1672,1.357554,Cl[Fe].Cl[Fe]Cl.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)[N]N=N2.[Fe],66,5.0
1673,0.153444,Cl[Fe].Cl[Fe]Cl.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2=N[N]N=c2c1.N1=NC2=C[C]3C(=CC2=N1)Oc1c(O3)cc2c(c1)[N]N=N2.N1=N[C]2C(=N1)C=C1C(=C2)O[C]2C(=CC3=NN=NC3=C2)O1.[Fe],160,5.0
1674,0.460654,Cl[Cu]OC(=O)c1cc(ccc1[O])S([O])([O])[O].[Cu],44,5.0
1675,0.725196,Cl[Cu]N1C=N[CH]N1Cc1cccnc1.Cl[Cu]N1[CH]N=CN1Cc1cccnc1.[Cu].[Cu][Cu].[Mo].[O].c1ccc(cn1)CN1[CH]N=C[N]1,101,6.0
1676,1.121513,Cl[Cu]Cl.S=c1[nH]c2=N[CH]NC=c2[nH]1,35,5.0
1677,0.600005,Cl[Cu]Cl.OCC(C(CO)O)O,21,4.0
1678,0.002652,Cl[Cu]Cl.O=S1(=O)[N]c2c([N]1)c1ncccc1c1c2nccc1,46,6.0
1679,0.729185,Cl[Cu]Cl.O=S(=O)(c1ccccn1)Cc1ccccn1,35,6.0
1680,0.812749,Cl[Cu]Cl.O=P(c1ccccc1)(c1ccccc1)CCP(=O)(c1ccccc1)c1ccccc1,57,5.0
1681,0.675845,Cl[Cu]Cl.O=C1NCCCN1,19,5.0
1682,0.710294,Cl[Cu]Cl.O=C(N(C1CCCCC1N(C(=O)c1ccccc1)Cc1cccnc1)Cc1cccnc1)c1ccccc1,67,5.0
1683,0.380214,Cl[Cu]Cl.Nc1ncccn1,18,4.0
1684,0.821174,Cl[Cu]Cl.n1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1,68,4.0
1685,0.719802,Cl[Cu]Cl.Fc1c(F)c(Sc2ccccn2)c(c(c1Sc1ccccn1)F)F,47,6.0
1686,0.798545,Cl[Cu]Cl.Cn1nnnc1CCc1nnnn1C,27,4.0
1687,0.768281,Cl[Cu]Cl.Cn1nncn1,17,4.0
1688,0.744954,Cl[Cu]Cl.Cn1c(Cc2ccc(cc2)Cc2nc3c(n2C)cccc3)nc2c1cccc2,53,4.0
1689,0.207183,Cl[Cu]Cl.Cl[Cu][Cu]Cl.c1cnc(nc1)SSc1ncccn1,42,5.0
1690,0.25698,Cl[Cu]Cl.Cl[Cu][Cu](Cl)(Cl)Cl.c1ccc(c(c1)Cn1nnc2c1cccc2)Cn1nnc2c1cccc2,70,4.0
1691,0.004702,Cl[Cu]Cl.c1cnc2c(n1)SC(=C1Sc3c(S1)nccn3)S2,42,5.0
1692,0.618302,Cl[Cu]Cl.c1cnc(nc1)SSc1ncccn1,29,5.0
1693,0.724335,Cl[Cu]Cl.c1cnc(nc1)SCc1ccc(cc1)CSc1ncccn1,41,5.0
1694,0.693864,Cl[Cu]Cl.c1ccnnc1,17,4.0
1695,0.684985,Cl[Cu]Cl.c1ccc2c(c1)nsn2,24,5.0
1696,0.466236,Cl[Cu]Cl.c1ccc2c(c1)nccn2,25,4.0
1697,0.788769,Cl[Cu]Cl.c1ccc2c(c1)n(nn2)CCn1nnc2c1cccc2,41,4.0
1698,0.614952,Cl[Cu]Cl.c1ccc(nc1)SCSc1ccccn1,30,5.0
1699,0.7597,Cl[Cu]Cl.c1ccc(nc1)SCc1ccccc1CSc1ccccn1,39,5.0
1700,0.419523,Cl[Cu]Cl.c1ccc(nc1)CSCc1ccc(cc1)CSCc1ccccn1,43,5.0
1701,0.785011,Cl[Cu]Cl.c1ccc(nc1)Cn1cncc1,27,4.0
1702,0.81486,Cl[Cu]Cl.c1ccc(nc1)c1nnc(o1)c1ccccn1,36,5.0
1703,0.344177,Cl[Cu]Cl.c1ccc(nc1)C1=NSc2c(N1)cccc2,36,5.0
1704,0.722651,Cl[Cu]Cl.c1ccc(c(c1)c1nc2c(s1)cccc2)SCCSc1ccccc1c1nc2c(s1)cccc2,63,5.0
1705,0.604438,Cl[Cu]Cl.[O]N1[CH]C=CC=C1,25,5.0
1706,1.605743,Cl[Cu]Cl.[Cu].c1cnc(nc1)SSc1ncccn1,34,5.0
1707,0.638596,Cl[Cu]Cl.[Cu].[O-][n+]1ccccc1P(=O)(O)[O].[O-][n+]1ccccc1P(=O)([O])O,67,6.0
1708,0.738359,Cl[Cu]1Oc2c(O1)nc1c(n2)cccc1.[Cu],33,5.0
1709,2.092582,Cl[Cu][Cu]Cl.S1Cc2ccc(cc2)CSCc2ccc(C1)cc2,41,4.0
1710,1.753772,Cl[Cu][Cu]Cl.S=C1CCCN1CCN1CCCC1=S,33,5.0
1711,1.879501,Cl[Cu][Cu]Cl.OCCN1N=N[N]C1=S.[Cu][Cu],37,6.0
1712,1.092682,Cl[Cu][Cu]Cl.NNC(=O)c1ccncc1,28,5.0
1713,0.416047,Cl[Cu][Cu]Cl.Nc1nc(cc(n1)c1ccccn1)c1ccncc1,42,4.0
1714,2.304737,Cl[Cu][Cu]Cl.n1ncn(c1)CCn1cnnc1,31,4.0
1715,1.360125,Cl[Cu][Cu]Cl.n1ccncc1,21,4.0
1716,0.78091,Cl[Cu][Cu]Cl.n1ccc(cc1)c1ccncc1,31,4.0
1717,0.379047,Cl[Cu][Cu]Cl.c1ncn(c1)c1ccc(cc1)[N][N]c1ccc(cc1)n1cncc1,55,4.0
1718,0.477185,Cl[Cu][Cu]Cl.c1ccc2c(c1)nc1c(n2)cccc1,37,4.0
1719,1.632723,Cl[Cu][Cu]Cl.c1ccc(nc1)SSc1ccccn1,33,5.0
1720,0.972665,Cl[Cu][Cu]Cl.c1ccc(cc1)c1cnc(o1)c1ccc(cc1)c1ncc(o1)c1ccccc1,59,5.0
1721,0.547322,Cl[Cu][Cu]Cl.[O-]C(=O)CCN1[CH]N(c2c1cccc2)CCC(=O)[O-],53,5.0
1722,0.857287,Cl[Cu][Cu]Cl.[Cu][Cu].[O-]C(=O)c1ccncc1,39,5.0
1723,1.511992,Cl[Cu][Cu].[S]c1ccncc1,22,5.0
1724,0.695184,Cl[Cu].ON=Cc1ccccc1OCC(=O)[O-],30,5.0
1725,0.779493,Cl[Cu].ON=C1CC2C(CC1(C)NCC(=O)[O-])C2(C)C,41,5.0
1726,0.807238,Cl[Cu].OC(=O)c1nccnc1C(=O)[O-],30,5.0
1727,0.65711,Cl[Cu].O=N(=O)C1=CN=N[CH]1.O=N(=O)C1=C[N]N=C1.O=N(=O)[C]1C=NN=C1.[Cu].[Cu][Cu].[K],82,6.0
1728,0.529362,Cl[Cu].O=C1C(=O)C(=O)C1=O,25,4.0
1729,0.912707,Cl[Cu].O=C(c1ccncc1)OCCOC(=O)c1ccncc1,37,5.0
1730,0.814463,Cl[Cu].Nc1nc(cc(n1)c1cccnc1)c1ccccn1,36,4.0
1731,1.121115,Cl[Cu].NC(=S)C(=S)N,19,5.0
1732,0.629671,Cl[Cu].n1ccc(cn1)c1ccnnc1,25,4.0
1733,1.085652,Cl[Cu].N#Cc1ccncc1,18,4.0
1734,2.225473,Cl[Cu].Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O,43,6.0
1735,0.448868,Cl[Cu].Cn1nnnc1[N][N]c1nnnn1C,29,4.0
1736,1.338464,Cl[Cu].Cn1ccnc1C=Cc1nccn1C,26,4.0
1737,0.822683,Cl[Cu].Clc1cnccn1,17,4.0
1738,0.709718,Cl[Cu].Cl[Cu]Cl.[Cu].c1nccnc1C#N,32,4.0
1739,1.570945,Cl[Cu].Cl[Cu]1[Cu][Cu]1(Cl)Cl.[S]C1=C[CH]NC=C1,46,5.0
1740,2.278727,Cl[Cu].Cl[Cu][Cu]([Cu]([Cu]Cl)Cl)Cl.S=C1NCCN1,45,5.0
1741,0.235201,Cl[Cu].Cl[Cu](N1C=C[CH]N2[C]1SC13[Cu]2(N2[C](S3)N=CC=C2)N2[C](S1)N=CC=C2)Cl,75,5.0
1742,0.949686,Cl[Cu].c1ccnnc1,15,4.0
1743,0.790356,Cl[Cu].c1ccc2c(c1)nsn2,22,5.0
1744,1.342185,Cl[Cu].c1ccc2c(c1)n(nn2)CCn1nnc2c1cccc2,39,4.0
1745,0.398906,Cl[Cu].c1ccc(nc1)C1=CC=N[N]1.c1ccc(nc1)C1=NN=C[CH]1,51,4.0
1746,1.08546,Cl[Cu].c1ccc(cn1)c1cccnc1,25,4.0
1747,1.79041,Cl[Cu].c1ccc(cc1)P(c1ccccc1)c1cc(cc(c1)c1ccncc1)P(c1ccccc1)c1ccccc1,67,5.0
1748,1.118238,Cl[Cu].[S]C(=S)[C]1N(CCN1Cc1ccccc1)Cc1ccccc1,44,5.0
1749,0.747146,Cl[Cu].[O]P(=O)(CN(Cc1ccccn1)Cc1ccccn1)O,40,6.0
1750,0.953161,Cl[Cu].[O]CCc1ccccn1,20,5.0
1751,0.841823,Cl[Cu].[O-]C(=O)CCN=Cc1ccccn1,29,5.0
1752,1.163174,Cl[Cu].[Cu].n1ccc(cc1)C1=N[N]N=N1,33,4.0
1753,0.343276,Cl[Cu](n1cnnc1)Cl.[Cu],22,4.0
1754,0.133973,Cl[Cu](n1cnnc1)Cl.[Cu],22,4.0
1755,1.178596,Cl[Cu]([Cu])Cl.n1ccc(cc1)N(c1ccncc1)c1ccc(cc1)N(c1ccncc1)c1ccncc1,65,4.0
1756,1.057097,Cl[Cu]([Cu])(Cl)Cl.Cl[Cu]([Cu])([Cu])(Cl)Cl.Cl[Cu]([Cu])([Cu])Cl.Cl[Cu]([Cu])Cl.Cl[Cu]([Cu][Cu]([Cu])(Cl)Cl)([Cu])(Cl)Cl.[S]C1=C[CH]NC=C1,137,5.0
1757,0.822568,Cl[Co]Cl.O=C(C(=O)NCc1ccncc1)NCc1ccncc1,39,5.0
1758,0.998585,Cl[Co]Cl.O=C(C(=O)Nc1cccnc1)Nc1cccnc1,37,5.0
1759,0.935811,Cl[Co]Cl.Nc1ccc(cc1)Cc1ccc(cc1)N,32,4.0
1760,0.641993,Cl[Co]Cl.NC(=S)c1cccc(c1)C(=S)N,31,5.0
1761,1.073703,Cl[Co]Cl.n1nnn(c1)CCn1cnnn1,27,4.0
1762,0.833696,Cl[Co]Cl.n1ccc(cc1)CCc1ccncc1,29,4.0
1763,0.362859,Cl[Co]Cl.n1ccc(cc1)[Te][Te]c1ccncc1,35,5.0
1764,0.91577,Cl[Co]Cl.c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,37,4.0
1765,0.860426,Cl[Co]Cl.c1nc2c([nH]1)cc1c(c2)[nH]cn1,37,4.0
1766,0.895138,Cl[Co]Cl.c1ccc2c(c1)n(cn2)Cc1ccc(cc1)Cn1cnc2c1cccc2,51,4.0
1767,0.835099,Cl[Co]Cl.c1ccc2c(c1)n(cn2)c1ccc(cc1)n1cnc2c1cccc2,49,4.0
1768,0.962357,Cl[Co]Cl.c1ccc(cn1)Cn1nnc(n1)c1cccc(c1)c1cncnc1,47,4.0
1769,0.089962,Cl[Co]Cl.[Co].[O]P(=O)(c1ccc(cc1)n1cnnc1)O,42,6.0
1770,0.342997,Cl[Co]Cl.[Co].[O-]C(=O)CN1C=CN([CH]1)CC(=O)[O-],47,5.0
1771,0.022759,Cl[Co].N1=Nc2c(=N1)cc1c(=NN=N1)c2,33,4.0
1772,0.688492,Cl[Co].[O-]C(=O)c1ccc(cc1)n1cncc1,33,5.0
1773,0.132766,Cl[Co].[Co].[N][N][N].[O-]C(=O)c1cccnc1,39,5.0
1774,3.281332,Cl[Cd]Cl.S=c1[nH]nc[nH]1,24,5.0
1775,2.602484,Cl[Cd]Cl.S=C(NCc1cccnc1)NCc1cccnc1,34,5.0
1776,3.195756,Cl[Cd]Cl.OCCOCn1cnc2c1nc(N)[nH]c2=O,35,5.0
1777,2.939003,Cl[Cd]Cl.O=C1Nc2cc(cc(c2)c2ccncc2)C(=O)N2CCCC2C(=O)Nc2cc(C(=O)N3C1CCC3)cc(c2)c1ccncc1,85,5.0
1778,3.59079,Cl[Cd]Cl.O=C(Nc1ccncc1)NCCNC(=O)Nc1ccncc1,41,5.0
1779,2.823317,Cl[Cd]Cl.O=C(c1cc(cc(c1)C(=O)Nc1cccnc1)C(=O)Nc1cccnc1)Nc1cccnc1,63,5.0
1780,4.317719,Cl[Cd]Cl.Nn1cnnc1,17,4.0
1781,3.63373,Cl[Cd]Cl.Nc1nncs1,17,5.0
1782,2.977923,Cl[Cd]Cl.Nc1ccccc1N,19,4.0
1783,1.808589,Cl[Cd]Cl.Nc1cccc2c1nsn2,23,5.0
1784,3.313105,Cl[Cd]Cl.Nc1ccc(cc1)Cc1ccc(cc1)N,32,4.0
1785,2.935817,Cl[Cd]Cl.Nc1ccc(cc1)Cc1ccc(cc1)N,32,4.0
1786,3.223756,Cl[Cd]Cl.Nc1ccc(cc1)Cc1ccc(cc1)N,32,4.0
1787,1.809073,Cl[Cd]Cl.n1ccc(cn1)c1ccnnc1,27,4.0
1788,3.205192,Cl[Cd]Cl.n1ccc(cc1)SSc1ccncc1,29,5.0
1789,2.770812,Cl[Cd]Cl.n1ccc(cc1)Sc1ccncc1,28,5.0
1790,2.433119,Cl[Cd]Cl.n1ccc(cc1)N(c1ccncc1)c1ccc(cc1)N(c1ccncc1)c1ccncc1,59,4.0
1791,3.481884,Cl[Cd]Cl.n1ccc(cc1)Cn1cncn1,27,4.0
1792,3.250544,Cl[Cd]Cl.n1ccc(cc1)Cn1cncc1,27,4.0
1793,2.894774,Cl[Cd]Cl.n1ccc(cc1)c1cscc1n1cncc1,33,5.0
1794,2.761018,Cl[Cd]Cl.n1ccc(cc1)c1ccncc1,27,4.0
1795,3.02845,Cl[Cd]Cl.n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1,53,4.0
1796,3.059385,Cl[Cd]Cl.N#Cc1ccc(cc1)N,23,4.0
1797,4.595073,Cl[Cd]Cl.Cn1ccnc1c1nccn1C,25,4.0
1798,4.039666,Cl[Cd]Cl.c1ncn(c1)Cn1cncc1,26,4.0
1799,3.607444,Cl[Cd]Cl.c1ncn(c1)Cc1nc2c([nH]1)cccc2,37,4.0
1800,3.736586,Cl[Cd]Cl.c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,37,4.0
1801,3.401493,Cl[Cd]Cl.c1ncn(c1)Cc1cc(Cn2cncc2)c(cc1Cn1cncc1)Cn1cncc1,55,4.0
1802,2.296758,Cl[Cd]Cl.c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,65,4.0
1803,2.462648,Cl[Cd]Cl.c1ccnnc1,17,4.0
1804,3.091661,Cl[Cd]Cl.c1ccc(nc1)CNCc1cccnc1,30,4.0
1805,3.786726,Cl[Cd]Cl.c1cc(cc(c1)Cn1cncc1)Cn1cncc1,37,4.0
1806,4.19447,Cl[Cd]Cl.[O-]C(=O)CN1[CH]NC=C1,30,5.0
1807,1.848367,Cl[Cd]Cl.[O-]C(=O)c1ccc(cc1)CN1[CH]C=C(C=C1)C=Cc1ccncc1,55,5.0
1808,1.073787,Cl[Cd]Cl.[O-]C(=O)c1ccc(cc1)CN1[CH]C=C(C=C1)C=Cc1ccncc1,55,5.0
1809,0.882645,Cl[Cd]Cl.[Cu].[O]c1ccccc1[CH][N]Cc1cccnc1,41,6.0
1810,1.629691,Cl[Cd]Cl.[Co].c1ccc(cn1)C(=C1C=CC=N1)C1=NC=C[CH]1.c1ccc(cn1)[C](C1=CC=C[N]1)C1=CC=C[N]1.c1ccc(cn1)[C](C1=NC=C[CH]1)C1=NC=C[CH]1.c1ccc(cn1)[C](C1=N[CH]C=C1)C1=C[CH]C=N1,167,5.0
1811,4.688557,Cl[Cd]Cl.[Cd].[O]S(CCn1cnnc1)([O])[O],37,6.0
1812,3.248511,Cl[Cd][Cd]Cl.[O-]C(=O)CN1[CH]N(c2c1cccc2)CC(=O)[O-],51,5.0
1813,3.202426,Cl[Cd].O(CCC1=NN=N[N]1)CCC1=NN=N[N]1.[Cd].[N][N][N],51,5.0
1814,3.161595,Cl[Cd].Nc1cccnc1.[N][N][N],26,4.0
1815,3.320068,Cl[Cd].NC1=NN=N[N]1.[Cd].[N][N][N],34,4.0
1816,3.663336,Cl[Cd].NC1=NN=C[N]1.[Cd],24,4.0
1817,3.509938,Cl[Cd].n1ccn(c1)c1cccc(c1)C1=NN=N[N]1,37,4.0
1818,3.5724,Cl[Cd].N#C[N]C#N,16,4.0
1819,3.368635,Cl[Cd].N#C[N]C#N,16,4.0
1820,1.833631,Cl[Cd].Cl[Cu]Cl.[Cd].c1ccc(cn1)C1=NN=N[N]1,42,5.0
